Transaction Name,Transaction Name URL,Organization Location,Organization Industries,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date
Seed Round - Delegate,https://www.crunchbase.com/funding_round/delegate-3543-seed--8b5b4b39,"San Francisco, California, United States, North America","Blockchain, Cryptocurrency, Security",Delegate,https://www.crunchbase.com/organization/delegate-3543,Seed,9000000,USD,9000000,2024-02-01
Seed Round - SEMRON,https://www.crunchbase.com/funding_round/semron-seed--57993a22,"Dresden, Sachsen, Germany, Europe","3D Technology, Artificial Intelligence (AI), B2B",SEMRON,https://www.crunchbase.com/organization/semron,Seed,7300000,EUR,7915398,2024-01-30
Seed Round - akirolabs,https://www.crunchbase.com/funding_round/akirolabs-seed--702ec142,"Berlin, Berlin, Germany, Europe","Artificial Intelligence (AI), Information Technology, Procurement, SaaS",akirolabs,https://www.crunchbase.com/organization/akirolabs,Seed,5000000,USD,5000000,2024-01-29
Seed Round - Rock Rabbit,https://www.crunchbase.com/funding_round/rock-rabbit-seed--f249eb88,"Palo Alto, California, United States, North America","Apps, Artificial Intelligence (AI), Consumer Software, Productivity Tools",Rock Rabbit,https://www.crunchbase.com/organization/rock-rabbit,Seed,3100000,USD,3100000,2024-02-22
Seed Round - Jua,https://www.crunchbase.com/funding_round/jua-seed--228892ae,"Freienbach, Schwyz, Switzerland, Europe","Artificial Intelligence (AI), Developer Platform, Information Technology, Internet, Machine Learning",Jua,https://www.crunchbase.com/organization/jua,Seed,16000000,USD,16000000,2024-02-05
Seed Round - Wondercraft,https://www.crunchbase.com/funding_round/wondercraft-seed--313bd4c8,"London, England, United Kingdom, Europe","Artificial Intelligence (AI), Content, Podcast, SaaS",Wondercraft,https://www.crunchbase.com/organization/wondercraft,Seed,2360000,GBP,3000502,2024-01-29
Seed Round - Bitlight Labs,https://www.crunchbase.com/funding_round/bitlight-labs-seed--658911b7,"Los Angeles, California, United States, North America","Bitcoin, Cryptocurrency, Information Technology",Bitlight Labs,https://www.crunchbase.com/organization/bitlight-labs,Seed,,,,2024-02-02
Seed Round - Myko AI,https://www.crunchbase.com/funding_round/genius-sheets-seed--02b8f2b8,"Scarsdale, New York, United States, North America","Accounting, Finance, FinTech, Software",Myko AI,https://www.crunchbase.com/organization/genius-sheets,Seed,2700000,USD,2700000,2024-02-26
Seed Round - FlowGPT,https://www.crunchbase.com/funding_round/flowgpt-seed--6249fe41,"Berkeley, California, United States, North America","Artificial Intelligence (AI), Consumer Applications, Consumer Software, Information Technology",FlowGPT,https://www.crunchbase.com/organization/flowgpt,Seed,10000000,USD,10000000,2024-02-26
Pre Seed Round - CareerOS,https://www.crunchbase.com/funding_round/careeros-pre-seed--e67f11f6,"Barcelona, Catalonia, Spain, Europe","Career Planning, EdTech, Education",CareerOS,https://www.crunchbase.com/organization/careeros,Pre-Seed,1200000,USD,1200000,2024-02-15
Seed Round - Ethena,https://www.crunchbase.com/funding_round/ethena-b5a5-seed--79a62cd0,"Lisbon, Lisboa, Portugal, Europe","Blockchain, Cryptocurrency",Ethena,https://www.crunchbase.com/organization/ethena-b5a5,Seed,14000000,USD,14000000,2024-02-16
Seed Round - Flexnode,https://www.crunchbase.com/funding_round/flexnode-seed--3fd0d4e4,"Bethesda, Maryland, United States, North America","Cloud Computing, Consulting, Information Technology",Flexnode,https://www.crunchbase.com/organization/flexnode,Seed,9000000,USD,9000000,2024-02-27
Seed Round - Enkrypt AI,https://www.crunchbase.com/funding_round/enkrypt-ai-seed--896ba972,"Boston, Massachusetts, United States, North America","Artificial Intelligence (AI), Asset Management, Digital Marketing, Information Technology",Enkrypt AI,https://www.crunchbase.com/organization/enkrypt-ai,Seed,2350000,USD,2350000,2024-02-27
Seed Round - Assemblio,https://www.crunchbase.com/funding_round/assemblio-seed--26d7e38c,"Stuttgart, Baden-Wurttemberg, Germany, Europe","Artificial Intelligence (AI), Industrial, Manufacturing, SaaS",Assemblio,https://www.crunchbase.com/organization/assemblio,Seed,2100000,EUR,2276065,2024-02-28
Seed Round - AVATAR MEDICAL,https://www.crunchbase.com/funding_round/avatar-medical-seed--a4f355af,"Paris, Ile-de-France, France, Europe","Education, Virtual Reality",AVATAR MEDICAL,https://www.crunchbase.com/organization/avatar-medical,Seed,5000000,EUR,5387798,2024-02-19
Seed Round - Gevulot,https://www.crunchbase.com/funding_round/gevulot-seed--f086dc6f,"Helsinki, Southern Finland, Finland, Europe","Blockchain, Cryptocurrency, Internet",Gevulot,https://www.crunchbase.com/organization/gevulot,Seed,6000000,USD,6000000,2024-01-29
Seed Round - Monumental,https://www.crunchbase.com/funding_round/monumental-6b94-seed--a0ab96de,"Amsterdam, Noord-Holland, The Netherlands, Europe","Construction, Robotics, Software",Monumental,https://www.crunchbase.com/organization/monumental-6b94,Seed,23200000,EUR,24993132,2024-02-15
Seed Round - Antithesis,https://www.crunchbase.com/funding_round/antithesis-seed--fb6437f0,"Vienna, Virginia, United States, North America","Artificial Intelligence (AI), Information Technology, Quality Assurance, Software",Antithesis,https://www.crunchbase.com/organization/antithesis,Seed,47000000,USD,47000000,2024-02-13
Pre Seed Round - PlayMakers,https://www.crunchbase.com/funding_round/playmakers-d96a-pre-seed--245419af,"Paris, Ile-de-France, France, Europe","Content, Gaming, Software",PlayMakers,https://www.crunchbase.com/organization/playmakers-d96a,Pre-Seed,1500000,USD,1500000,2024-02-26
Seed Round - Artie,https://www.crunchbase.com/funding_round/artie-a438-seed--8eea830d,"San Francisco, California, United States, North America","Analytics, B2B, Data Integration, Database, Software",Artie,https://www.crunchbase.com/organization/artie-a438,Seed,3300000,USD,3300000,2024-02-14
Seed Round - Armilla AI,https://www.crunchbase.com/funding_round/armilla-ai-seed--312237fb,"Toronto, Ontario, Canada, North America","Artificial Intelligence (AI), Software",Armilla AI,https://www.crunchbase.com/organization/armilla-ai,Seed,6000000,CAD,4455616,2024-02-15
Seed Round - Vocode,https://www.crunchbase.com/funding_round/vocode-seed--b9046478,"San Francisco, California, United States, North America","Developer Tools, Information Technology, Open Source, Speech Recognition",Vocode,https://www.crunchbase.com/organization/vocode,Seed,3250000,USD,3250000,2024-02-08
Seed Round - Stellar Sleep,https://www.crunchbase.com/funding_round/stellar-sleep-seed--7e897228,"San Francisco, California, United States, North America","Advice, Health Care, Mobile Apps, Personal Health",Stellar Sleep,https://www.crunchbase.com/organization/stellar-sleep,Seed,6000000,USD,6000000,2024-02-06
Pre Seed Round - HackQuest,https://www.crunchbase.com/funding_round/hackquest-pre-seed--e24af050,"Atlanta, Georgia, United States, North America","Apps, EdTech, Education, Non-Fungible Token (NFT), Web3",HackQuest,https://www.crunchbase.com/organization/hackquest,Pre-Seed,1100000,USD,1100000,2024-02-24
Seed Round - IDENFIT,https://www.crunchbase.com/funding_round/idenfit-seed--e78b72dc,"The Hague, Zuid-Holland, The Netherlands, Europe","Human Resources, Information Technology, Retail, SaaS, Software, Virtual Workforce",IDENFIT,https://www.crunchbase.com/organization/idenfit,Seed,1500000,USD,1500000,2024-02-21
Seed Round - Cognitiwe,https://www.crunchbase.com/funding_round/cognitiwe-seed--9de2e6d0,"Tallinn, Harjumaa, Estonia, Europe","Artificial Intelligence (AI), Computer Vision, Food and Beverage, Machine Learning, Predictive Analytics, Retail Technology, Sustainability, Waste Management",Cognitiwe,https://www.crunchbase.com/organization/cognitiwe,Seed,1000000,EUR,1087438,2024-02-01
Pre Seed Round - AddGlow,https://www.crunchbase.com/funding_round/addglow-pre-seed--6ec1fa99,"New York, New York, United States, North America","Information Technology, Software",AddGlow,https://www.crunchbase.com/organization/addglow,Pre-Seed,1700000,USD,1700000,2024-02-22
Seed Round - Mondra,https://www.crunchbase.com/funding_round/mondra-seed--59b20b3f,"London, England, United Kingdom, Europe","Analytics, Artificial Intelligence (AI), Food and Beverage, GreenTech, Information Technology, Software, Sustainability",Mondra,https://www.crunchbase.com/organization/mondra,Seed,3600000,GBP,4564896,2024-02-27
Seed Round - BreachBits,https://www.crunchbase.com/funding_round/breachbits-seed--44b7e75d,"Annapolis, Maryland, United States, North America","Artificial Intelligence (AI), Cyber Security, Machine Learning, SaaS",BreachBits,https://www.crunchbase.com/organization/breachbits,Seed,,,,2024-02-26
Seed Round - Mobly,https://www.crunchbase.com/funding_round/mobly-cf90-seed--a821bd00,"Eagle Mountain, Utah, United States, North America","B2B, Mobile Apps, SaaS, Software",Mobly,https://www.crunchbase.com/organization/mobly-cf90,Seed,2500000,USD,2500000,2024-02-26
Seed Round - dataroomHQ,https://www.crunchbase.com/funding_round/dataroomhq-seed--24340be7,"New York, New York, United States, North America","Finance, Machine Learning, SaaS",dataroomHQ,https://www.crunchbase.com/organization/dataroomhq,Seed,3500000,USD,3500000,2024-02-06
Seed Round - KIT-AR,https://www.crunchbase.com/funding_round/kit-ar-limited-seed--4635f878,"London, England, United Kingdom, Europe","Augmented Reality, Industrial Manufacturing, Information Technology, Manufacturing, Quality Assurance",KIT-AR,https://www.crunchbase.com/organization/kit-ar-limited,Seed,2820000,GBP,3575835,2024-02-27
Pre Seed Round - FORA,https://www.crunchbase.com/funding_round/fora-38e5-pre-seed--4d4bcd3a,"Nyack, New York, United States, North America","Artificial Intelligence (AI), Generative AI, Software, Web Development",FORA,https://www.crunchbase.com/organization/fora-38e5,Pre-Seed,3800000,USD,3800000,2024-01-31
Seed Round - Coris,https://www.crunchbase.com/funding_round/coris-38b0-seed--88264bb5,"Palo Alto, California, United States, North America","FinTech, Payments, Risk Management, Software",Coris,https://www.crunchbase.com/organization/coris-38b0,Seed,3700000,USD,3700000,2024-02-01
Seed Round - BOX ID Systems,https://www.crunchbase.com/funding_round/box-id-systems-seed--1d80ed9c,"Munich, Bayern, Germany, Europe","Automotive, Enterprise Software, Industrial, Information Technology, Internet of Things, Manufacturing, SaaS, Software, Supply Chain Management",BOX ID Systems,https://www.crunchbase.com/organization/box-id-systems,Seed,3500000,EUR,3806032,2024-02-01
Pre Seed Round - Proofcheck,https://www.crunchbase.com/funding_round/proofcheck-pre-seed--0d818c3f,"Vienna, Wien, Austria, Europe","Artificial Intelligence (AI), Software",Proofcheck,https://www.crunchbase.com/organization/proofcheck,Pre-Seed,500000,EUR,539928,2024-02-02
Seed Round - Pronto Housing,https://www.crunchbase.com/funding_round/pronto-housing-seed--5fc08ea1,"New York, New York, United States, North America","Enterprise Software, Property Management, Real Estate, Software",Pronto Housing,https://www.crunchbase.com/organization/pronto-housing,Seed,3000000,USD,3000000,2024-02-27
Seed Round - Reken,https://www.crunchbase.com/funding_round/reken-seed--66005a5e,"San Francisco, California, United States, North America","Artificial Intelligence (AI), Communications Infrastructure, Cyber Security, Fraud Detection, Information Technology, Machine Learning, Network Security, Security, Software",Reken,https://www.crunchbase.com/organization/reken,Seed,10000000,USD,10000000,2024-01-31
Seed Round - UnityAI,https://www.crunchbase.com/funding_round/unityai-seed--a028afa1,"Nashville, Tennessee, United States, North America","Artificial Intelligence (AI), Electronic Health Record (EHR), Health Care",UnityAI,https://www.crunchbase.com/organization/unityai,Seed,4000000,USD,4000000,2024-02-20
Seed Round - Meso,https://www.crunchbase.com/funding_round/meso-1d1e-seed--350b680d,"New York, New York, United States, North America","Cryptocurrency, Financial Services, Web3",Meso,https://www.crunchbase.com/organization/meso-1d1e,Seed,9500000,USD,9500000,2024-02-20
Pre Seed Round - SigScalr,https://www.crunchbase.com/funding_round/sigscalr-pre-seed--6f14545d,"Nashua, New Hampshire, United States, North America","Information Technology, Software",SigScalr,https://www.crunchbase.com/organization/sigscalr,Pre-Seed,1760000,USD,1760000,2024-02-20
Seed Round - Finpilot,https://www.crunchbase.com/funding_round/finpilot-seed--47ed8c5e,"Seattle, Washington, United States, North America","Artificial Intelligence (AI), Cloud Data Services, Finance, Predictive Analytics, Software",Finpilot,https://www.crunchbase.com/organization/finpilot,Seed,4000000,USD,4000000,2024-02-22
Seed Round - AudioStack,https://www.crunchbase.com/funding_round/aflorithmic-labs-seed--2c66346c,"London, England, United Kingdom, Europe","Artificial Intelligence (AI), Audio, Machine Learning, Personalization, SaaS, Software, Speech Recognition",AudioStack,https://www.crunchbase.com/organization/aflorithmic-labs,Seed,2500000,GBP,3150797,2024-02-06
Seed Round - FuzzLand,https://www.crunchbase.com/funding_round/fuzzland-seed--3a6f528b,"Palo Alto, California, United States, North America",Web Development,FuzzLand,https://www.crunchbase.com/organization/fuzzland,Seed,3000000,USD,3000000,2024-02-08
Seed Round - Saleor Commerce,https://www.crunchbase.com/funding_round/saleor-commerce-seed--0921d921,"Wroclaw, Dolnoslaskie, Poland, Europe","Developer APIs, E-Commerce, E-Commerce Platforms, Open Source",Saleor Commerce,https://www.crunchbase.com/organization/saleor-commerce,Seed,8000000,USD,8000000,2024-02-05
Seed Round - Dexa AI,https://www.crunchbase.com/funding_round/dexa-ai-seed--3c53b427,"New York, New York, United States, North America","Artificial Intelligence (AI), Information Technology, Internet, Podcast, Search Engine",Dexa AI,https://www.crunchbase.com/organization/dexa-ai,Seed,6000000,USD,6000000,2024-02-05
Seed Round - Parspec,https://www.crunchbase.com/funding_round/parspec-seed--ffdcdb7d,"San Francisco, California, United States, North America","Artificial Intelligence (AI), Construction, Information Technology",Parspec,https://www.crunchbase.com/organization/parspec,Seed,11500000,USD,11500000,2024-02-27
Seed Round - Nile,https://www.crunchbase.com/funding_round/nile-4912-seed--85c8919d,"San Francisco, California, United States, North America","Database, Internet, Web Development",Nile,https://www.crunchbase.com/organization/nile-4912,Seed,11600000,USD,11600000,2024-01-30
Seed Round - Sunhat,https://www.crunchbase.com/funding_round/sunhat-seed--55fbdd1e,"Cologne, Nordrhein-Westfalen, Germany, Europe","Business Information Systems, Consumer Software, Software",Sunhat,https://www.crunchbase.com/organization/sunhat,Seed,3000000,EUR,3252149,2024-02-27
Pre Seed Round - Jamix,https://www.crunchbase.com/funding_round/jamix-a934-pre-seed--f178a02a,"San Francisco, California, United States, North America",Artificial Intelligence (AI),Jamix,https://www.crunchbase.com/organization/jamix-a934,Pre-Seed,3000000,USD,3000000,2024-02-21
Pre Seed Round - HACE,https://www.crunchbase.com/funding_round/hace-87e4-pre-seed--b02b036e,"Manchester, Manchester, United Kingdom, Europe","Analytics, Artificial Intelligence (AI), Information Technology, Social Impact",HACE,https://www.crunchbase.com/organization/hace-87e4,Pre-Seed,450000,GBP,569757,2024-02-28
Seed Round - Climate Policy Radar,https://www.crunchbase.com/funding_round/climate-policy-radar-seed--cd06c022,"London, England, United Kingdom, Europe","Consulting, Machine Learning, Non Profit",Climate Policy Radar,https://www.crunchbase.com/organization/climate-policy-radar,Seed,6800000,USD,6800000,2024-02-20
Seed Round - Arch,https://www.crunchbase.com/funding_round/arch-9a5b-seed--37e9cbfa,"San Francisco, California, United States, North America","Embedded Software, Embedded Systems, GreenTech, Heating, Ventilation, and Air Conditioning (HVAC)",Arch,https://www.crunchbase.com/organization/arch-9a5b,Seed,6200000,USD,6200000,2024-02-15
Seed Round - Holdbar,https://www.crunchbase.com/funding_round/holdbar-seed--128372c9,"Aarhus, Midtjylland, Denmark, Europe","Software, Travel",Holdbar,https://www.crunchbase.com/organization/holdbar,Seed,3500000,USD,3500000,2024-02-09
Pre Seed Round - Cascading AI,https://www.crunchbase.com/funding_round/cascading-ai-pre-seed--4ab63755,"San Francisco, California, United States, North America","Banking, FinTech, Software",Cascading AI,https://www.crunchbase.com/organization/cascading-ai,Pre-Seed,3900000,USD,3900000,2024-02-09
Pre Seed Round - Subsets,https://www.crunchbase.com/funding_round/subsets-pre-seed--9e47a9e5,"Copenhagen, Hovedstaden, Denmark, Europe","Artificial Intelligence (AI), CRM, SaaS, Software",Subsets,https://www.crunchbase.com/organization/subsets,Pre-Seed,1650000,USD,1650000,2024-02-27
Pre Seed Round - Klas,https://www.crunchbase.com/funding_round/elpis-academy-pre-seed--91912680,"Remote, Oregon, United States, North America",EdTech,Klas,https://www.crunchbase.com/organization/elpis-academy,Pre-Seed,1000000,USD,1000000,2024-02-06
