Transaction Name,Transaction Name URL,Organization Location,Organization Industries,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date
Pre Seed Round - Mineprism Inc.,https://www.crunchbase.com/funding_round/mineprism-pre-seed--64a12907,"San Francisco, California, United States, North America","Artificial Intelligence (AI), Mineral, Mining Technology, Natural Resources, Precious Metals, SaaS",Mineprism Inc.,https://www.crunchbase.com/organization/mineprism,Pre-Seed,,,,2024-02-28
Seed Round - Skill Struck,https://www.crunchbase.com/funding_round/skill-struck-seed--d3ed66de,"Provo, Utah, United States, North America","Children, E-Learning, Education",Skill Struck,https://www.crunchbase.com/organization/skill-struck,Seed,1450000,USD,1450000,2024-02-27
Seed Round - Galileo AI,https://www.crunchbase.com/funding_round/galileo-ai-seed--82f68942,"San Francisco, California, United States, North America","Product Design, Software",Galileo AI,https://www.crunchbase.com/organization/galileo-ai,Seed,4400000,USD,4400000,2024-02-06
Seed Round - CogniSenseAI,https://www.crunchbase.com/funding_round/cognisenseai-seed--48e93bdc,"Modesto, California, United States, North America","Artificial Intelligence (AI), Machine Learning, Software",CogniSenseAI,https://www.crunchbase.com/organization/cognisenseai,Seed,2410000,USD,2410000,2024-02-23
Seed Round - MC² Finance,https://www.crunchbase.com/funding_round/mc²-finance-seed--01c39361,"Zürich, Zurich, Switzerland, Europe","Asset Management, Cryptocurrency, Finance, FinTech, Trading Platform",MC² Finance,https://www.crunchbase.com/organization/mc²-finance,Seed,,,,2024-03-01
Seed Round - Intros AI,https://www.crunchbase.com/funding_round/intros-fdff-seed--92b10949,"New York, New York, United States, North America","Artificial Intelligence (AI), Communications Infrastructure, Communities",Intros AI,https://www.crunchbase.com/organization/intros-fdff,Seed,,,,2024-02-22
Pre Seed Round - Bella,https://www.crunchbase.com/funding_round/bella-1a28-pre-seed--2adf8590,"Sydney, New South Wales, Australia, Oceania","Artificial Intelligence (AI), SaaS, Sales, Sales Automation, Sales Enablement, Software",Bella,https://www.crunchbase.com/organization/bella-1a28,Pre-Seed,,,,2024-02-22
Pre Seed Round - SubHub,https://www.crunchbase.com/funding_round/subhub-721b-pre-seed--f7b7dc9f,"Austin, Texas, United States, North America","Construction, Software",SubHub,https://www.crunchbase.com/organization/subhub-721b,Pre-Seed,,,,2024-02-20
Seed Round - Bonop.com,https://www.crunchbase.com/funding_round/bonop-com-seed--671f4519,"Marbella, Andalucia, Spain, Europe","Affiliate Marketing, Blockchain, Classifieds, Cryptocurrency, FinTech, Marketing, Online Auctions",Bonop.com,https://www.crunchbase.com/organization/bonop-com,Seed,,,,2024-02-20
Seed Round - Veritas Labs,https://www.crunchbase.com/funding_round/veritas-labs-seed--da060e16,"San Francisco, California, United States, North America","Enterprise Software, Health Care, Health Diagnostics, Medical, Software",Veritas Labs,https://www.crunchbase.com/organization/veritas-labs,Seed,5000000,USD,5000000,2024-02-16
Pre Seed Round - CTO2B,https://www.crunchbase.com/funding_round/cto2b-pre-seed--85e8357e,"Vilnius, Vilniaus Apskritis, Lithuania, Europe",Cloud Management,CTO2B,https://www.crunchbase.com/organization/cto2b,Pre-Seed,1000000,EUR,1095287,2024-03-13
Pre Seed Round - Arini,https://www.crunchbase.com/funding_round/arini-pre-seed--e59dd3ba,"San Francisco, California, United States, North America","Artificial Intelligence (AI), Dental, Software",Arini,https://www.crunchbase.com/organization/arini,Pre-Seed,500000,USD,500000,2024-02-19
Pre Seed Round - Contember,https://www.crunchbase.com/funding_round/contember-pre-seed--4cb24270,"Dublin, Dublin, Ireland, Europe","Consulting, Information Services, Information Technology, Open Source",Contember,https://www.crunchbase.com/organization/contember,Pre-Seed,,,,2024-01-31
Pre Seed Round - MARVL,https://www.crunchbase.com/funding_round/marvl-pre-seed--249a4ec4,"San Francisco, California, United States, North America","Generative AI, Sales Automation, Sales Enablement",MARVL,https://www.crunchbase.com/organization/marvl,Pre-Seed,,,,2024-02-12
Seed Round - BenchmarkAI,https://www.crunchbase.com/funding_round/benchmarkai-seed--f97256c9,"Fargo, North Dakota, United States, North America","Artificial Intelligence (AI), Non Profit",BenchmarkAI,https://www.crunchbase.com/organization/benchmarkai,Seed,1141000,USD,1141000,2024-02-13
Pre Seed Round - Quoli,https://www.crunchbase.com/funding_round/quoli-fd52-pre-seed--297ff50a,"Denver, Colorado, United States, North America","Apps, E-Commerce, Fashion, Internet, Retail, Software",Quoli,https://www.crunchbase.com/organization/quoli-fd52,Pre-Seed,50000,USD,50000,2024-02-15
Seed Round - Accumatic,https://www.crunchbase.com/funding_round/accumatic-seed--b38eaefd,"Kirkland, Washington, United States, North America","Automotive, Payments, Software",Accumatic,https://www.crunchbase.com/organization/accumatic,Seed,526442,USD,526442,2024-02-15
Pre Seed Round - Agcurate,https://www.crunchbase.com/funding_round/agcurate-pre-seed--bbb78d9f,"Arnhem, Gelderland, The Netherlands, Europe","Agriculture, Artificial Intelligence (AI), Business Process Automation (BPA), Remote Sensing, SaaS",Agcurate,https://www.crunchbase.com/organization/agcurate,Pre-Seed,,,,2024-02-16
Seed Round - Chalk,https://www.crunchbase.com/funding_round/chalk-ai-seed--b566b95f,"San Francisco, California, United States, North America","Artificial Intelligence (AI), Big Data, Machine Learning, Productivity Tools, Software",Chalk,https://www.crunchbase.com/organization/chalk-ai,Seed,338298,USD,338298,2024-02-13
Seed Round - FlowFi,https://www.crunchbase.com/funding_round/flowfi-seed--a30761b9,"Santa Monica, California, United States, North America","Accounting, Finance, Financial Services, SaaS",FlowFi,https://www.crunchbase.com/organization/flowfi,Seed,9000000,USD,9000000,2024-02-13
Pre Seed Round - Veriom,https://www.crunchbase.com/funding_round/veriom-pre-seed--1ee72935,"London, England, United Kingdom, Europe","Information Technology, Software",Veriom,https://www.crunchbase.com/organization/veriom,Pre-Seed,310000,GBP,391433,2024-02-12
Pre Seed Round - Trident AI,https://www.crunchbase.com/funding_round/trident-ai-4fe3-pre-seed--afa91588,"San Francisco, California, United States, North America","Artificial Intelligence (AI), Banking, Cyber Security, Financial Services, FinTech, Fraud Detection, Machine Learning",Trident AI,https://www.crunchbase.com/organization/trident-ai-4fe3,Pre-Seed,125000,USD,125000,2024-02-04
Seed Round - Jaia Robotics,https://www.crunchbase.com/funding_round/jaia-robotics-seed--8001428f,"Newport, Rhode Island, United States, North America","Autonomous Vehicles, Marine Technology, Robotics, Service Industry",Jaia Robotics,https://www.crunchbase.com/organization/jaia-robotics,Seed,1179824,USD,1179824,2024-02-01
Pre Seed Round - Vector,https://www.crunchbase.com/funding_round/vector-ae49-pre-seed--bffa3517,"Boston, Massachusetts, United States, North America","B2B, Software",Vector,https://www.crunchbase.com/organization/vector-ae49,Pre-Seed,,,,2024-02-05
Seed Round - Croft,https://www.crunchbase.com/funding_round/croft-8688-seed--e39b7059,"Indiana, Pennsylvania, United States, North America","AgTech, SaaS, Software",Croft,https://www.crunchbase.com/organization/croft-8688,Seed,704000,USD,704000,2024-02-09
Pre Seed Round - #://CNXT,https://www.crunchbase.com/funding_round/cnxt-pre-seed--cd7ad988,"New York, New York, United States, North America","Consumer Software, Enterprise Software, Finance, Financial Services, FinTech, Information Technology, Internet, Social Media, Software, Virtual Currency",#://CNXT,https://www.crunchbase.com/organization/cnxt,Pre-Seed,,,,2024-02-07
Seed Round - XponentL Data,https://www.crunchbase.com/funding_round/xponentl-data-seed--fb417b67,"Philadelphia, Pennsylvania, United States, North America","Analytics, Artificial Intelligence (AI), Infrastructure, Machine Learning",XponentL Data,https://www.crunchbase.com/organization/xponentl-data,Seed,3500000,USD,3500000,2024-02-06
Seed Round - Mindflow,https://www.crunchbase.com/funding_round/mindflow-seed--71aff93f,"Paris, Ile-de-France, France, Europe","Cyber Security, DevOps, Information Technology, SaaS",Mindflow,https://www.crunchbase.com/organization/mindflow,Seed,5000000,EUR,5463287,2024-03-12
Pre Seed Round - $://THeXDesK,https://www.crunchbase.com/funding_round/thexdesk-pre-seed--36a0ab59,"Chicago, Illinois, United States, North America","B2B, B2C, Big Data, Enterprise Software, Finance, Financial Exchanges, Financial Services, Innovation Management, Software, Virtual Currency",$://THeXDesK,https://www.crunchbase.com/organization/thexdesk,Pre-Seed,,,,2024-02-07
Seed Round - AgentAI,https://www.crunchbase.com/funding_round/agentai-seed--2adff40b,"Los Angeles, California, United States, North America","Artificial Intelligence (AI), Health Care, Information Technology",AgentAI,https://www.crunchbase.com/organization/agentai,Seed,1850000,USD,1850000,2024-02-02
Seed Round - Swap Labs,https://www.crunchbase.com/funding_round/swap-labs-seed--542a2741,"Dover, Delaware, United States, North America","Information Technology, SaaS, Software",Swap Labs,https://www.crunchbase.com/organization/swap-labs,Seed,1600000,USD,1600000,2024-02-06
Seed Round - Banquet Health,https://www.crunchbase.com/funding_round/banquet-health-seed--5450b6ff,"New York, New York, United States, North America","Health Care, Nutrition, Software",Banquet Health,https://www.crunchbase.com/organization/banquet-health,Seed,4499999,USD,4499999,2024-02-02
Pre Seed Round - .dodocs,https://www.crunchbase.com/funding_round/dodocs-pre-seed--e20d79a4,"Sheridan, Wyoming, United States, North America","Big Data, Developer APIs, Developer Tools, SaaS, Software",.dodocs,https://www.crunchbase.com/organization/dodocs,Pre-Seed,,,,2024-03-31
Pre Seed Round - Umbrella Sports,https://www.crunchbase.com/funding_round/umbrella-sports-pre-seed--8ca2579a,"Dallas, Texas, United States, North America","Artificial Intelligence (AI), Data Integration, Golf, Machine Learning, Sports",Umbrella Sports,https://www.crunchbase.com/organization/umbrella-sports,Pre-Seed,25000,USD,25000,2024-02-09
Pre Seed Round - Ocular AI,https://www.crunchbase.com/funding_round/ocular-ai-pre-seed--2a4a7257,"San Francisco, California, United States, North America","Artificial Intelligence (AI), B2B, Cloud Infrastructure, Generative AI, Machine Learning, SaaS",Ocular AI,https://www.crunchbase.com/organization/ocular-ai,Pre-Seed,500000,USD,500000,2024-02-01
Seed Round - Quintessent,https://www.crunchbase.com/funding_round/quintessent-seed--24ce4035,"Santa Barbara, California, United States, North America","Artificial Intelligence (AI), Information Technology, Laser, Machine Learning, Semiconductor",Quintessent,https://www.crunchbase.com/organization/quintessent,Seed,11500000,USD,11500000,2024-03-14
Seed Round - Anon,https://www.crunchbase.com/funding_round/anon-df99-seed--7f0be6c3,"San Francisco, California, United States, North America","Developer Platform, Generative AI, Identity Management, Software",Anon,https://www.crunchbase.com/organization/anon-df99,Seed,4500000,USD,4500000,2024-04-24
Pre Seed Round - Recivu,https://www.crunchbase.com/funding_round/recivu-pre-seed--2ba47f5f,"Firenze, Toscana, Italy, Europe","Apps, FinTech, Mobile Apps, Retail Technology, SaaS",Recivu,https://www.crunchbase.com/organization/recivu,Pre-Seed,60000,EUR,65054,2024-01-28
Seed Round - Aiden Automotive Technologies,https://www.crunchbase.com/funding_round/aiden-automotive-technologies-seed--d36b1834,"San Ramon, California, United States, North America","Android, Automotive, SaaS, Software",Aiden Automotive Technologies,https://www.crunchbase.com/organization/aiden-automotive-technologies,Seed,,,,2024-01-31
Seed Round - Propense.ai,https://www.crunchbase.com/funding_round/propense-ai-seed--29f7c84b,"Miami, Florida, United States, North America","Artificial Intelligence (AI), Predictive Analytics, SaaS, Software",Propense.ai,https://www.crunchbase.com/organization/propense-ai,Seed,3000000,USD,3000000,2024-03-06
Seed Round - Take2 AI,https://www.crunchbase.com/funding_round/take2-ai-seed--43ee4da1,"New York, New York, United States, North America","Employment, Generative AI, Information Technology, Recruiting, SaaS, Training",Take2 AI,https://www.crunchbase.com/organization/take2-ai,Seed,3000000,USD,3000000,2024-04-16
Seed Round - Ivo,https://www.crunchbase.com/funding_round/latch-2f35-seed--f9bf5c9e,"Middletown, Delaware, United States, North America","Artificial Intelligence (AI), Legal, Machine Learning",Ivo,https://www.crunchbase.com/organization/latch-2f35,Seed,4800000,USD,4800000,2024-04-04
Pre Seed Round - Video Chat A Pro,https://www.crunchbase.com/funding_round/video-chat-a-pro-pre-seed--97951330,"Twin Lake, Michigan, United States, North America",Software,Video Chat A Pro,https://www.crunchbase.com/organization/video-chat-a-pro,Pre-Seed,,,,2024-02-10
Seed Round - Efficient Computer,https://www.crunchbase.com/funding_round/efficientai-seed--b0caa490,"Pittsburgh, Pennsylvania, United States, North America","Computer, Embedded Software, Information Technology, Manufacturing, Semiconductor",Efficient Computer,https://www.crunchbase.com/organization/efficientai,Seed,16000000,USD,16000000,2024-03-07
Pre Seed Round - Carom,https://www.crunchbase.com/funding_round/carom-36a5-pre-seed--6194b45a,"Paris, Ile-de-France, France, Europe","Information Technology, Mobile Apps, Social Network",Carom,https://www.crunchbase.com/organization/carom-36a5,Pre-Seed,333000,EUR,364419,2024-03-08
Seed Round - RAI,https://www.crunchbase.com/funding_round/rai-inc-florida-seed--9278e0ee,"Orlando, Florida, United States, North America","Augmented Reality, Blockchain, Cloud Computing, Computer Vision, Generative AI, Information Technology, Machine Learning, Metaverse, Natural Language Processing, Virtual Reality",RAI,https://www.crunchbase.com/organization/rai-inc-florida,Seed,3500000,USD,3500000,2024-02-16
Seed Round - Cloudoor,https://www.crunchbase.com/funding_round/cno-seed--20bd8f98,"Los Angeles, California, United States, North America","Enterprise Software, Information Technology, SaaS, Software",Cloudoor,https://www.crunchbase.com/organization/cno,Seed,,,,2024-02-15
Seed Round - Thunderbirds,https://www.crunchbase.com/funding_round/thunderbirds-me-inc-seed--fdf8c6e6,"Orlando, Florida, United States, North America","Artificial Intelligence (AI), Blockchain, Cloud Computing, Computer Vision, Generative AI, Human Computer Interaction, Information Technology, Machine Learning, Metaverse, Virtual Reality",Thunderbirds,https://www.crunchbase.com/organization/thunderbirds-me-inc,Seed,5500000,USD,5500000,2024-02-13
Seed Round - Quantex,https://www.crunchbase.com/funding_round/cryptiswap-seed--ffe481d9,"San Francisco, California, United States, North America","Bitcoin, Blockchain, Cryptocurrency, Ethereum, Financial Exchanges, Financial Services, FinTech, Internet",Quantex,https://www.crunchbase.com/organization/cryptiswap,Seed,150000,USD,150000,2024-02-29
Pre Seed Round - Protoqual,https://www.crunchbase.com/funding_round/protoqual-learning-system-pre-seed--dcb456fe,"Reno, Nevada, United States, North America","E-Learning, EdTech, Education, Health Care, Medical",Protoqual,https://www.crunchbase.com/organization/protoqual-learning-system,Pre-Seed,100000,USD,100000,2024-02-15
Pre Seed Round - Kamina,https://www.crunchbase.com/funding_round/kamina-3c77-pre-seed--cf04ffdb,"Quito, Pichincha, Ecuador, South America","EdTech, Financial Services, FinTech",Kamina,https://www.crunchbase.com/organization/kamina-3c77,Pre-Seed,3200000,USD,3200000,2024-03-01
Seed Round - Coblrshop,https://www.crunchbase.com/funding_round/coblrshop-seed--dce3bda8,"Boston, Massachusetts, United States, North America","Fashion, Point of Sale, SaaS, Sustainability",Coblrshop,https://www.crunchbase.com/organization/coblrshop,Seed,,,,2024-02-24
Pre Seed Round - Hauska,https://www.crunchbase.com/funding_round/hauska-pre-seed--15478182,"Moab, Utah, United States, North America","Architecture, Artificial Intelligence (AI), Home Improvement, Home Renovation, Interior Design, SaaS, Web3",Hauska,https://www.crunchbase.com/organization/hauska,Pre-Seed,,,,2024-02-13
Seed Round - NVolume,https://www.crunchbase.com/funding_round/nvolume-seed--85d5c56d,"Edinburgh, Edinburgh, City of, United Kingdom, Europe","Artificial Intelligence (AI), Blockchain, Cryptocurrency, FinTech, Generative AI, Machine Learning, SaaS, Web3",NVolume,https://www.crunchbase.com/organization/nvolume,Seed,,,,2024-02-15
Seed Round - MANSIO,https://www.crunchbase.com/funding_round/mansio-4efe-seed--f2387564,"Aachen, Nordrhein-Westfalen, Germany, Europe","IT Management, Logistics, SaaS, Software, Transportation",MANSIO,https://www.crunchbase.com/organization/mansio-4efe,Seed,,,,2024-02-19
Seed Round - Trigma.AI,https://www.crunchbase.com/funding_round/trigma-ai-seed--5ac96e01,"London, England, United Kingdom, Europe","Artificial Intelligence (AI), Intelligent Systems, Machine Learning, Marketing Automation",Trigma.AI,https://www.crunchbase.com/organization/trigma-ai,Seed,,,,2024-03-01
Seed Round - Trigma.AI,https://www.crunchbase.com/funding_round/trigma-ai-seed--fef651d8,"London, England, United Kingdom, Europe","Artificial Intelligence (AI), Intelligent Systems, Machine Learning, Marketing Automation",Trigma.AI,https://www.crunchbase.com/organization/trigma-ai,Seed,,,,2024-03-01
Seed Round - BSGROUPCOMPANY LTD,https://www.crunchbase.com/funding_round/bsgroupcompany-ltd-seed--6b070474,"City Of London, England, United Kingdom, Europe","Courier Service, E-Commerce, Payments, Retail, Software, Transportation",BSGROUPCOMPANY LTD,https://www.crunchbase.com/organization/bsgroupcompany-ltd,Seed,,,,2024-02-20
Seed Round - FiPME - First International Play Money Exchange,https://www.crunchbase.com/funding_round/first-international-play-money-exchange-seed--b82c44e1,"Rotkreuz, Zug, Switzerland, Europe","Compliance, Gaming, Legal Tech, Marketplace, Software, Video Games",FiPME - First International Play Money Exchange,https://www.crunchbase.com/organization/first-international-play-money-exchange,Seed,,,,2024-02-20
Pre Seed Round - Placy,https://www.crunchbase.com/funding_round/placy-23dc-pre-seed--4a63a850,"Limassol, Limassol, Cyprus, Europe","Artificial Intelligence (AI), Information Technology, Lead Generation, Machine Learning, PropTech, Real Estate Brokerage",Placy,https://www.crunchbase.com/organization/placy-23dc,Pre-Seed,250000,EUR,270111,2024-01-31
Pre Seed Round - Cap,https://www.crunchbase.com/funding_round/cap-ef50-pre-seed--f08e9760,"Copenhagen, Hovedstaden, Denmark, Europe","Artificial Intelligence (AI), Finance, Venture Capital",Cap,https://www.crunchbase.com/organization/cap-ef50,Pre-Seed,1100000,USD,1100000,2024-01-31
Pre Seed Round - CyberPravda,https://www.crunchbase.com/funding_round/cyberpravda-pre-seed--e0a55b03,"Barcelona, Catalonia, Spain, Europe","Information Technology, Internet, Software",CyberPravda,https://www.crunchbase.com/organization/cyberpravda,Pre-Seed,10250,USD,10250,2024-03-01
Seed Round - SocialCoach,https://www.crunchbase.com/funding_round/socialcoach-seed--97387a9c,"Mission Viejo, California, United States, North America","FinTech, Marketing Automation, Social Media, Social Media Marketing, Software",SocialCoach,https://www.crunchbase.com/organization/socialcoach,Seed,1000000,USD,1000000,2024-02-13
"Pre Seed Round - Transformation Insights, inc.",https://www.crunchbase.com/funding_round/simpel-and-associates-pre-seed--2a646f47,"Lexington, New York, United States, North America","Artificial Intelligence (AI), Robotic Process Automation (RPA)","Transformation Insights, inc.",https://www.crunchbase.com/organization/simpel-and-associates,Pre-Seed,,,,2024-02-15
Seed Round - EPOSMATIC,https://www.crunchbase.com/funding_round/eposmatic-seed--28f976a4,"Kalispell, Montana, United States, North America",SaaS,EPOSMATIC,https://www.crunchbase.com/organization/eposmatic,Seed,1000,USD,1000,2024-03-10
Pre Seed Round - Pet Portal AI,https://www.crunchbase.com/funding_round/pet-portal-ai-pre-seed--7d182cc3,"Woodland Hills, California, United States, North America","Artificial Intelligence (AI), Pet",Pet Portal AI,https://www.crunchbase.com/organization/pet-portal-ai,Pre-Seed,300000,USD,300000,2024-02-01
Pre Seed Round - Drodat,https://www.crunchbase.com/funding_round/drodat-pre-seed--7ebc8c65,"Miami, Florida, United States, North America","Image Recognition, InsurTech, Property Insurance, PropTech",Drodat,https://www.crunchbase.com/organization/drodat,Pre-Seed,400000,USD,400000,2024-02-01
Seed Round - Sadaarah,https://www.crunchbase.com/funding_round/sadaarah-seed--fce6a0ad,"Berlin, Berlin, Germany, Europe","Business Intelligence, Cloud Data Services, Data Integration, Data Management, Software",Sadaarah,https://www.crunchbase.com/organization/sadaarah,Seed,,,,2024-02-01
Seed Round - Hydronos Labs,https://www.crunchbase.com/funding_round/hydronos-labs-seed--ce0ecaf7,"Princeton Junction, New Jersey, United States, North America","Analytics, Artificial Intelligence (AI), Consulting, Data Integration, Information Technology, InsurTech, Software",Hydronos Labs,https://www.crunchbase.com/organization/hydronos-labs,Seed,,,,2024-02-01
Pre Seed Round - AdvisoryAI,https://www.crunchbase.com/funding_round/sifa-ai-pre-seed--ad702919,"London, England, United Kingdom, Europe",Software,AdvisoryAI,https://www.crunchbase.com/organization/sifa-ai,Pre-Seed,,,,2024-02-01
Seed Round - Ekkobar,https://www.crunchbase.com/funding_round/ekkobar-seed--fac38512,"Boston, Massachusetts, United States, North America","Artificial Intelligence (AI), Financial Services, Information Technology, Media and Entertainment, Politics, SaaS, Sports",Ekkobar,https://www.crunchbase.com/organization/ekkobar,Seed,,,,2024-01-29
Seed Round - Neurosnap,https://www.crunchbase.com/funding_round/neurosnap-seed--e0ab93cc,"Wilmington, Delaware, United States, North America","Artificial Intelligence (AI), Biotechnology, Life Science, Machine Learning, Pharmaceutical",Neurosnap,https://www.crunchbase.com/organization/neurosnap,Seed,,,,2024-01-30
Pre Seed Round - Unsupervised Learning,https://www.crunchbase.com/funding_round/un-supervised-learning-pre-seed--ac2ce41b,"Perth, Western Australia, Australia, Oceania","Artificial Intelligence (AI), Communities, Education, Open Source, Podcast",Unsupervised Learning,https://www.crunchbase.com/organization/un-supervised-learning,Pre-Seed,,,,2024-01-28
Pre Seed Round - Bio Nippy Holding B.V.,https://www.crunchbase.com/funding_round/bionippy-5bdf-pre-seed--ed6acf4a,"Nijmegen, Gelderland, The Netherlands, Europe","Delivery Service, E-Commerce, Fashion, Food and Beverage, Food Delivery, Mobile Apps, Organic, Organic Food, Real Estate, Retail",Bio Nippy Holding B.V.,https://www.crunchbase.com/organization/bionippy-5bdf,Pre-Seed,,,,2024-02-28
Pre Seed Round - Supply Pay,https://www.crunchbase.com/funding_round/supply-pay-pre-seed--84caf350,"Mcallen, Texas, United States, North America","Artificial Intelligence (AI), FinTech, Information Technology",Supply Pay,https://www.crunchbase.com/organization/supply-pay,Pre-Seed,250000,USD,250000,2024-02-01
Seed Round - MedibleGo,https://www.crunchbase.com/funding_round/mediblego-seed--1a619559,"London, England, United Kingdom, Europe","Artificial Intelligence (AI), B2B, B2C, Business Development, FinTech, Machine Learning, Micro Lending, SaaS, Social Impact",MedibleGo,https://www.crunchbase.com/organization/mediblego,Seed,18000,GBP,22849,2024-01-30
Seed Round - BrightClue,https://www.crunchbase.com/funding_round/brightclue-seed--37ddad0f,"Cesson-sévigné, Bretagne, France, Europe","3D Technology, Artificial Intelligence (AI), Automotive, Industrial, Information Technology, Manufacturing, Product Design, Software",BrightClue,https://www.crunchbase.com/organization/brightclue,Seed,700000,EUR,756693,2024-02-20
Seed Round - Lumnion,https://www.crunchbase.com/funding_round/lumnion-seed--95d1495b,"München, Bayern, Germany, Europe","Artificial Intelligence (AI), Information Technology, InsurTech, Machine Learning",Lumnion,https://www.crunchbase.com/organization/lumnion,Seed,1200000,USD,1200000,2024-02-09
Pre Seed Round - Covered,https://www.crunchbase.com/funding_round/covered-e3c2-pre-seed--77402383,"San Diego, California, United States, North America","Artificial Intelligence (AI), Generative AI, Health Care, Health Insurance, Personal Health, Software",Covered,https://www.crunchbase.com/organization/covered-e3c2,Pre-Seed,,,,2024-02-25
Seed Round - Taktiful Software Solutions,https://www.crunchbase.com/funding_round/taktiful-software-solutions-seed--ee8d0adc,"Melbourne, Florida, United States, North America","Consumer Software, Enterprise Software, Productivity Tools, SaaS, Software, Software Engineering",Taktiful Software Solutions,https://www.crunchbase.com/organization/taktiful-software-solutions,Seed,250000,USD,250000,2024-03-20
Pre Seed Round - Bonop.com,https://www.crunchbase.com/funding_round/bonop-com-pre-seed--4afc2ff7,"Marbella, Andalucia, Spain, Europe","Affiliate Marketing, Blockchain, Classifieds, Cryptocurrency, FinTech, Marketing, Online Auctions",Bonop.com,https://www.crunchbase.com/organization/bonop-com,Pre-Seed,28000,USD,28000,2024-02-12
Pre Seed Round - H+Trace,https://www.crunchbase.com/funding_round/h-trace-pre-seed--fe636b30,"Miami, Florida, United States, North America","Artificial Intelligence (AI), Food and Beverage, Health Care, Internet of Things, Logistics, Supply Chain Management",H+Trace,https://www.crunchbase.com/organization/h-trace,Pre-Seed,,,,2024-04-01
Seed Round - Totempole Inc,https://www.crunchbase.com/funding_round/totempole-seed--25e19914,"Los Angeles, California, United States, North America","Information Services, Marketplace, Mobile Apps, Software",Totempole Inc,https://www.crunchbase.com/organization/totempole,Seed,,,,2024-03-26
Seed Round - Pineapple Academy,https://www.crunchbase.com/funding_round/pineapple-academy-seed--285101c6,"Blue Springs, Missouri, United States, North America","EdTech, Food and Beverage, Health Care",Pineapple Academy,https://www.crunchbase.com/organization/pineapple-academy,Seed,250000,USD,250000,2024-01-29
Seed Round - AtlasPro AI,https://www.crunchbase.com/funding_round/atlas-pro-ai-seed--d9e97efc,"San Francisco, California, United States, North America","Artificial Intelligence (AI), Enterprise, Geospatial, Machine Learning",AtlasPro AI,https://www.crunchbase.com/organization/atlas-pro-ai,Seed,,,,2024-05-01
Seed Round - Alife Virtual Metaverse,https://www.crunchbase.com/funding_round/sorin-base-inc-seed--07461fb4,"Bucharest, Bucuresti, Romania, Europe","Artificial Intelligence (AI), Education, Machine Learning, Metaverse, Online Games, SaaS, Simulation, Software, Virtual World",Alife Virtual Metaverse,https://www.crunchbase.com/organization/sorin-base-inc,Seed,10000,USD,10000,2024-04-01
Seed Round - Pawa Tasty,https://www.crunchbase.com/funding_round/pawa-91a4-seed--06d5aa44,"Den Haag, Zuid-Holland, The Netherlands, Europe","Apps, Battery, Electronics, Energy, Mobile, Search Engine",Pawa Tasty,https://www.crunchbase.com/organization/pawa-91a4,Seed,,,,2024-03-01
Pre Seed Round - AQX,https://www.crunchbase.com/funding_round/atlas-c71b-pre-seed--d881605e,"New York, New York, United States, North America","Artificial Intelligence (AI), Software",AQX,https://www.crunchbase.com/organization/atlas-c71b,Pre-Seed,625000,USD,625000,2024-03-01
Seed Round - Paylode,https://www.crunchbase.com/funding_round/paylode-seed--de2cd644,"Miami, Florida, United States, North America","Information Technology, SaaS, Software",Paylode,https://www.crunchbase.com/organization/paylode,Seed,5500000,USD,5500000,2024-02-28
Seed Round - ShiftNOW,https://www.crunchbase.com/funding_round/shiftnow-seed--9a0735df,"Charleston, South Carolina, United States, North America","Advertising Platforms, Brand Marketing, Software",ShiftNOW,https://www.crunchbase.com/organization/shiftnow,Seed,2000000,USD,2000000,2024-02-14
Pre Seed Round - Clous,https://www.crunchbase.com/funding_round/clous-2372-pre-seed--e5bdd26a,"Madrid, Madrid, Spain, Europe","Human Resources, Recruiting, SaaS, Software",Clous,https://www.crunchbase.com/organization/clous-2372,Pre-Seed,,,,2024-02-08
Pre Seed Round - CooksTime,https://www.crunchbase.com/funding_round/skrible-inc-pre-seed--709a09ac,"Dallas, Texas, United States, North America","Hospitality, Restaurants, SaaS",CooksTime,https://www.crunchbase.com/organization/skrible-inc,Pre-Seed,,,,2024-02-01
Seed Round - MetaBrain Labs,https://www.crunchbase.com/funding_round/genoemote-seed--b9324294,"Bellevue, Washington, United States, North America","Artificial Intelligence (AI), Chatbot, Human Computer Interaction, Information Technology, Neuroscience",MetaBrain Labs,https://www.crunchbase.com/organization/genoemote,Seed,,,,2024-04-01
Pre Seed Round - Plutus,https://www.crunchbase.com/funding_round/unicohub-pre-seed--d5998170,"San Francisco, California, United States, North America","Content Creators, Gaming, Mobile, Software",Plutus,https://www.crunchbase.com/organization/unicohub,Pre-Seed,,,,2024-03-10
Seed Round - Alife Virtual Online Game,https://www.crunchbase.com/funding_round/sorin-hosting-seed--ecec4c51,"Dover, Delaware, United States, North America","Artificial Intelligence (AI), Education, Machine Learning, Metaverse, Online Games, SaaS, Simulation, Software, Virtual World",Alife Virtual Online Game,https://www.crunchbase.com/organization/sorin-hosting,Seed,10000,USD,10000,2024-04-01
